run_number,average_bic,bic_control,bic_cocaine,overall_accuracy,model_specification,model_summary,version,instructions_used,bias_recovery,beta_self_recovery,beta_ineq_recovery,beta_contrib_recovery,beta_fairness_recovery,inequity_weight_recovery,intercept_recovery,w_offered_recovery,w_fairness_recovery,fairness_weight_recovery,beta1_recovery,beta2_recovery,gamma_recovery,alpha_recovery,beta_recovery,inequity_aversion_recovery,baseline_recovery,offer_weight_recovery,w_self_recovery,w_fair_recovery,alpha_fairness_recovery,beta_fair_recovery,kappa_self_recovery,kappa_disadv_recovery,theta_recovery,weight_self_recovery,weight_DI_recovery,weight_AI_recovery,penalty_ineq_recovery,delta_recovery
11,40.22569941656723,37.44501553804742,42.7167287244079,0.72008547008547,"deserved_perc = token_self / (token_self + token_opp)
delta = (splitperc_self / 100) - deserved_perc
U = bias + offer_weight * split_self + alpha * min(0, delta)","A minimal disadvantageous inequity aversion model for responder behavior, where utility is a weighted sum of the monetary offer (£) and a penalty for receiving a less-than-deserved share (relative to personal contribution), plus a baseline bias. The model uses three learnable parameters: an absolute offer weight, a bias, and an inequity aversion parameter penalizing negative deviations from deserved share. Utility is mapped to choice probability via the logistic function.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.8232580777931583,,,,,,,,,,,,,0.3095457688490111,,,,0.5490073862648491,,,,,,,,,,,,
16,40.340246823735676,37.69834228353815,42.70695297432929,0.6941391941391941,"utility = alpha * (split_self / combined_earning) 
        - beta * max((fair_share_perc - split_self / combined_earning), 0)
        - gamma * max((split_self / combined_earning - fair_share_perc), 0)","A three-parameter utility model for responder choices that linearly combines the self-interest of monetary gain with aversion to both disadvantageous and advantageous inequity, the latter two computed relative to the participant’s proportional contribution. The model predicts acceptance probability as a sigmoid of utility, balancing earnings and fairness-based considerations.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,0.15135145445880638,0.9011293625966366,0.6872734598462296,,,,,,,,,,,,,,,
5,46.60296069929388,43.13760812709247,49.70733904522431,0.6684981684981686,"U = intercept + fairness_weight * min(split_self - deserved_share, 0)","A merit-weighted inequity aversion model predicting responder acceptance based on the discrepancy between the offer and the participant's deserved share according to individual contributions. Utility penalizes only when offers are less than deserved, scaled by a negative fairness sensitivity parameter. Only two learnable parameters: a bias/intercept and a fairness-weight capturing sensitivity to unfairness, ensuring parsimony and identifiability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,0.806541647633544,,,0.317972186120489,,,,,,,,,,,,,,,,,,,,
6,48.379804996094215,47.72509387637416,48.96631704084343,0.8040293040293041,"fair_share = (token_self / (token_self + token_opp)) * combined_earning
U = bias + beta1 * split_self + beta2 * (split_self - fair_share)","A linear utility model predicting responder acceptance of offers based on the absolute amount offered and the deviation from proportional (fair) splits, with a bias term capturing general acceptance propensity. The model uses three learnable parameters: a baseline bias, sensitivity to amount offered (beta1), and sensitivity to fairness deviation (beta2). Parameters are generously but finitely bounded for robust parameter recovery. The model is compact, interpretable, and tailored for the experimental structure described.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.778936824901335,,,,,,,,,,0.8004764622654977,0.8477711511098525,,,,,,,,,,,,,,,,,,
17,49.036378088548716,43.88018379162745,53.65546881287402,0.7967032967032966,"fair_share = (token_self) / (token_self + token_opp) * 100
disadv_gap = max(fair_share - splitperc_self, 0)
U = kappa_self * splitperc_self - kappa_disadv * disadv_gap","A two-parameter utility model for responder behavior combining sensitivity to own gain and aversion to being offered less than a proportional (contribution-based) fair share. The utility integrates both self-interest and fairness considerations, predicting acceptance probability using a logistic function applied to the trialwise utility.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,0.7412592199791901,0.811624282191038,,,,,,
2,50.51143555728199,46.70881974486263,53.91794555590767,0.78998778998779,"fairness_perc = 100 * token_self / (token_self + token_opp)
inequity = abs(splitperc_self - fairness_perc)
U = beta_self * split_self + beta_fairness * inequity + bias","A utility-based model for responder choices, combining linear sensitivity to monetary self-gain and absolute deviation from a contribution-based fair share. The model has three learnable parameters: one for self-gain, one for fairness aversion, and a general acceptance bias. The offer's utility is converted to an acceptance probability via a sigmoid, targeting binary accept/reject decisions.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.7486821403146444,0.5459632309411973,,,0.8836942169684964,,,,,,,,,,,,,,,,,,,,,,,,,
25,98.13582341928667,75.38596094276873,118.51590855450064,0.7713675213675214,utility = fairness_weight * (splitperc_self - deserved_perc) + bias,"This model predicts acceptance of offers based on how the proposed share for the responder (in percent) deviates from the share deserved according to their relative contribution of tokens. Acceptance utility is a linear function of this difference, scaled by a fairness sensitivity and intercept term. The model contains two learnable parameters: the fairness sensitivity and a response bias. The deserved percentage is computed as tokens found by self divided by the total tokens found, times 100.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.5731745116236705,,,,,,,,,0.9044234805304349,,,,,,,,,,,,,,,,,,,,
15,99.07287572974909,68.55135032710241,126.41507556962006,0.8147130647130647,U = bias + beta_self * split_perc_self + beta_fair * (split_perc_self - 100 * token_self / (token_self + token_opp)),"A linear utility model predicting the likelihood of responder acceptance based on a weighted combination of baseline acceptance tendency, the percentage of the total pot the participant receives, and the deviation from a fair division proportional to each player's contribution. The model allows for individual differences in sensitivity to both self-interest and fairness using only three learnable parameters, supporting robust parameter recovery and interpretability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.13538701846663595,0.8701195186944061,,,,,,,,,,,,,,,,,,,,0.8526078919822623,,,,,,,,
7,222.12066303786148,191.3120823803502,249.72001654354867,0.7069597069597069,"deserved_share = combined_earning * (token_self / (token_self + token_opp))

U = gamma + alpha * min(0, split_self - deserved_share) + beta * split_self","A three-parameter model predicting responder acceptance by combining (1) aversion to being offered less than a fair share based on contributions, (2) sensitivity to the absolute size of the offer, and (3) baseline acceptance tendency. The model computes the difference between the actual offer and the responder’s deserved share, penalizes negative deviations, and combines these effects linearly. The utility is then mapped to acceptance probability via a logistic function.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,0.07066440148534156,-0.0004818530143452151,0.02407597678168695,,,,,,,,,,,,,,,
14,429.83124465205753,414.26515439486695,443.7758671741241,0.6593406593406593,"deserved_share = combined_earning * (token_self / (token_self + token_opp))
U = alpha_fairness * (split_self - deserved_share) + beta_self * split_self + bias","A utility-based model predicting responder acceptance by combining sensitivity to proportional fairness (difference between actual and deserved share), own monetary gain, and a constant bias. The model uses three learnable parameters with generous, finite bounds: fairness sensitivity (alpha_fairness), self-interest (beta_self), and bias. Utility is mapped to choice probability via a logistic function.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.25901524791622743,0.3138679689235997,,,,,,,,,,,,,,,,,,,0.26241055470742436,,,,,,,,,
1,470.5713695320011,503.962417784214,440.6585554727271,0.6648351648351648,"utility = bias + beta_self * split_self - beta_ineq * max(0, splitperc_opp - splitperc_self) - beta_contrib * abs((split_self / combined_earning) - (token_self / (token_self + token_opp)))","A not-overspecified inequity aversion and norm-based model predicting responder acceptance. Utility is determined by own monetary payoff, aversion to disadvantageous inequality, and punishment of deviations from the individual's contribution norm. Four parameters (three learnable psychological weights plus a bias term) map trial variables to acceptance utility, balancing self-interest and fairness concerns as a function of the offer and each player's contribution.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.12033606753600497,0.7766892459094891,0.02210355174697628,-0.04362456817716285,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,No metadata,,v0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,"deserved_share_self = combined_earning * (token_self / (token_self + token_opp))
fairness_gap = split_self - deserved_share_self
U = theta * split_self + phi * fairness_gap + bias","This is a simple linear utility model for responder behavior accounting for sensitivity to own monetary gain, fairness relative to contribution (the difference between received offer and deserved share), and a baseline acceptance bias. It uses three learnable parameters: own-gain sensitivity, fairness-gap sensitivity, and an intercept. Utility is mapped via a logistic function to binary accept/reject predictions.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,U = w_self * split_self + w_fair * (splitperc_self / 100 - token_self / (token_self + token_opp)) + intercept,"A linear utility model for responder choices that combines (1) the absolute offered amount, (2) the deviation of the offer from the participant's proportional contribution (contribution-weighted fairness), and (3) a participant-specific response bias. The model has only three learnable parameters per participant to ensure identifiability and efficient parameter recovery.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,"proportional_share_self = (token_self / (token_self + token_opp)) * combined_earning

U = w_self * log(split_self + 1) - w_ineq * max(0, proportional_share_self - split_self) + bias","This is a fairness-based utility model for responder decisions, combining sensitivity to own monetary gain and a penalty for receiving less than a proportional share based on contributions. The model uses three learnable parameters: sensitivity to gain, proportional fairness aversion, and an acceptance bias. The computed utility is mapped to choice probability via a logistic function.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
