run_number,average_bic,bic_control,bic_cocaine,model_specification,model_summary,version,omega_recovery,k_recovery,b0_recovery,b1_recovery,a_recovery,b_recovery,sigma_recovery,b_bias_recovery,b_fair_recovery,lambda_param_recovery,mu_recovery,beta_recovery,p0_recovery,p1_recovery,beta0_recovery,beta1_recovery,sigma_error_recovery,delta_recovery,gamma_recovery,alpha_recovery,betaF_recovery,delta2_recovery,delta3_recovery,intercept_recovery,beta_param_recovery,theta0_recovery,theta1_recovery
10,150.31398673261077,,,proposed_perc = 50 + beta * ((token_opp - token_self)/(token_opp + token_self)),A minimal linear fairness model where the proposed percentage is given by a fixed fair split (50%) adjusted by a sensitivity parameter multiplied by the normalized token difference.,v11,,,,,,,,,,,,0.9999999999999988,,,,,,,,,,,,,,,
17,271.29758371399663,,,"u = alpha - beta * ((token_self - token_opp)/(token_self + token_opp)) + log(token_opp/token_self)
proposed_perc = 100/(1 + exp(-u))",A logit-based fairness model that predicts the percentage offered to the opponent by combining the fairness norm—computed as the opponent’s token share—and a self-serving bias scaled by the token imbalance. Two learnable parameters (alpha and beta) allow for a baseline bias and sensitivity to imbalance.,v11,,,,,,,,,,,,0.9999999999999419,,,,,,,,0.9999999999999871,,,,,,,
20,439.67446755724404,,,proposed_perc = 100/(1+exp(-(theta0 + theta1*((token_opp-token_self)/(token_self+token_opp)))),A logistic fairness model in which the predicted percentage offered to the opponent is determined by a baseline preference (theta0) and a sensitivity (theta1) to the normalized difference in token contributions (token_opp versus token_self). This model uses a logistic transformation to ensure predictions are bounded between 0 and 100 and employs only two learnable parameters to minimize covariance while maintaining predictive accuracy.,v11,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244818222610695,-0.0919391430859996
5,455.39845094817804,,,proposed_perc = 50 + b_bias + b_fair*(50*((token_opp - token_self)/(token_self + token_opp))) + epsilon,"A parsimonious linear model predicting the percentage offered to the opponent. It computes a centered fairness component from the relative token contributions, then adjusts this component with a bias parameter and scales it by a fairness sensitivity parameter, with additive Gaussian noise capturing unexplained variability.",v11,,,,,,,-0.17456945371387578,0.5672828405588736,0.08566436237635307,,,,,,,,,,,,,,,,,,
9,502.7086536037833,,,predicted_proposed_perc = beta0 + beta1 * ((token_opp/(token_self+token_opp)) - 0.5) + noise,A linear fairness-based computational model predicting the proposed percentage for the opponent. The model uses the ratio of the opponent's tokens to total tokens (centered around 0.5) to adjust a baseline offer (beta0) by a sensitivity factor (beta1) with additive normally distributed noise (sigma_error). This approach minimizes the number of learnable parameters to enhance parameter recovery while accurately capturing proposer behavior.,v11,,,,,,,,,,,,,,,0.18077959300940233,0.18038719156932992,-0.09632988884586809,,,,,,,,,,
16,520.5563634377351,,,"proposed_perc = a + b*((token_opp - token_self)/(token_opp + token_self)) + epsilon,  epsilon ~ Normal(0,sigma)","A linear regression model that predicts the proposed percentage share for the opponent based on a normalized difference between opponent and participant tokens. The intercept (a) sets the baseline (fair split) and the slope (b) adjusts proposals based on fairness considerations, with a normally distributed noise (epsilon) governed by sigma.",v11,,,,,0.4072242270498732,0.09178942900521497,0.09388087418490655,,,,,,,,,,,,,,,,,,,,
18,545.9399634716052,,,"proposed_perc = intercept + gamma*((token_opp/(token_self+token_opp))-0.5) + epsilon; epsilon ~ Normal(0, sigma)",A linear fairness model where the predicted proposed percentage is determined by a baseline intercept plus a sensitivity parameter times a centered fairness index computed as the opponent’s token proportion minus 0.5. Decision noise is incorporated as normally distributed error.,v11,,,,,,,-0.04590698232770611,,,,,,,,,,,,-0.09971464942888292,,,,,0.31361631986694305,,,
3,561.6467280800227,,,"proposed_perc = a + b * log((token_opp + 1)/(token_self + 1)) + epsilon,  where epsilon ~ Normal(0, sigma)",A linear model that predicts the offer percentage based on the logarithm of the relative token contributions. The model includes two learnable parameters (an intercept and a sensitivity parameter) and a noise term. The formulation ensures low parameter covariance by using a parsimonious structure while directly linking the observed tokens to the proposed percentage.,v11,,,,,0.39129382889621683,-0.04945721856433049,-0.0445720565727085,,,,,,,,,,,,,,,,,,,,
1,,,,proposed_perc = 50 + omega * (100 * (token_opp^k / (token_opp^k + token_self^k)) - 50),"A fairness-based model predicting the proposed percentage share to the opponent by combining a normative baseline (50%) with a fairness-adjusted share derived from the relative token contributions. The model uses two learnable parameters: omega, which weights the influence of fairness, and k, which determines the non-linear sensitivity to token contributions.",v11,0.9891904115747482,0.9994413641584879,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,"proposed_perc = alpha + lambda*(token_opp/(token_self+token_opp)) + beta2*I_trial_type2 + beta3*I_trial_type3 + epsilon
epsilon ~ Normal(0, sigma^2)
I_trial_type2 = 1 if trial_type==2 else 0
I_trial_type3 = 1 if trial_type==3 else 0","A linear model for proposer behavior where the predicted percentage proposed to the opponent is determined by a baseline intercept, a weighted fairness ratio (derived from the relative token contributions), and additive shifts for conditions where the trial type indicates unequal contributions. Stochastic noise is also incorporated to capture variability.",v11,,,,,,,,,,,,,,,,,,,,,,,,,,,
