run_number,average_bic,bic_control,bic_cocaine,overall_accuracy,model_specification,model_summary,version,instructions_used,fairness_weight_recovery,bias_recovery,intercept_recovery,proposer_bias_recovery,noise_sd_recovery,alpha_recovery,w_merit_recovery,sigma_recovery,baseline_deviation_recovery,beta_recovery,generosity_recovery,weight_recovery,bias_param_recovery,weight_fair_recovery,sigma_noise_recovery,base_recovery,self_bias_recovery,noise_std_recovery,gamma_recovery,base_generosity_recovery,baseline_offer_recovery,merit_weight_recovery,minimum_perc_recovery,selfishness_bias_recovery,choice_noise_recovery,selfish_baseline_recovery
20,461.455255377069,465.3637312526676,457.9625748073852,,"proposed_perc = fairness_weight * fair_perc_opp + bias + epsilon

fair_perc_opp = 100 * token_opp / (token_self + token_opp)

epsilon ~ Normal(0, noise_sd)","A minimal linear equity model for proposer behavior, combining the effect of the opponent's proportional contribution to the pot (fairness) and a systematic proposer-specific bias. The model has two learnable parameters: a fairness weight (degree of influence of proportional fairness, [0,2]) and a bias (systematic offset, [-30,30]). The offer to the opponent is predicted as the sum of the fairness-based suggestion and the bias, with added Gaussian noise.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.3660141095968438,0.13334015573514515,,,,,,,,,,,,,,,,,,,,,,,,
22,462.3789566799868,451.8065249268759,471.62983446395884,,"predicted_perc = fairness_weight * (100 * token_opp / (token_self + token_opp)) + (1 - fairness_weight) * minimum_perc + Normal(0, noise_std)","This model predicts how much of the pot a proposer offers to their opponent by interpolating between a fairness anchor (the opponent’s proportional contribution) and a personal minimum, with a weight parameter determining the influence of each factor. Trial-by-trial variability is captured through Gaussian noise. All relevant behavioral variables are directly drawn from trial data.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.13148977495495862,,,,,,,,,,,,,,,,,-0.13700067535804406,,,,,0.03573094513761573,,,
14,476.808870620315,471.7907841531162,481.30423974718065,,"tags (use specified parameter names).

---

<MODEL>
proposed_perc_pred = fairness_weight * (token_opp / (token_self + token_opp)) * 100 + bias + epsilon","A parsimonious, noise-augmented fairness model for proposer behavior in social bargaining: the predicted offer is a weighted sum of proportional equity (opponent’s contribution share) plus a bias term, with additive Gaussian noise. The fairness_weight parameter captures the degree to which the participant values equity, bias captures systematic deviations from proportional fairness, and sigma_noise captures trial-level variability. The model has three learnable parameters, balancing psychological fidelity with parameter recoverability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.057379922976202966,0.47332333153809036,,,,,,,,,,,,,-0.20218565497085836,,,,,,,,,,,
24,480.8112645362368,478.18728365289877,483.31862404698205,,"proposed_perc = fairness_weight * (token_opp / (token_self + token_opp)) * 100 + (1 - fairness_weight) * selfish_baseline + Normal(0, noise_sd)","A two-parameter mixture model predicting proposer offers as a convex combination of (a) a proportional fair share (based on relative contribution) and (b) a baseline selfish offer percentage, plus additive Gaussian noise. The model seeks to balance interpretability, parameter recoverability, and psychological plausibility by capturing both fairness-motivated and self-serving tendencies in proposer behavior.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.2728790257750594,,,,-0.015976900736103403,,,,,,,,,,,,,,,,,,,,,0.03993115917047132
23,492.511516935458,483.6007021389096,500.66396451527896,,"proposed_perc_pred = fairness_weight * (token_opp / (token_self + token_opp)) * 100 + selfishness_bias + random_noise

random_noise ~ Normal(0, choice_noise)","A linear additive model predicting proposer offers as a weighted combination of proportional fairness (opponent’s contribution divided by total, times a fairness weight parameter) and a selfishness bias parameter, plus trialwise Gaussian noise. The model uses only three learnable parameters—fairness sensitivity, bias, and choice noise—minimizing identifiability issues. The model predicts the percentage of the pot offered to the opponent for each proposer trial.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.2459066612423292,,,,,,,,,,,,,,,,,,,,,,,0.06716461050309419,0.04514884113007698,
3,504.8725570670012,508.71774738629716,501.42790740596524,,"proposed_perc = fairness_weight * (100 * token_opp / (token_opp + token_self)) + proposer_bias + Normal(0, noise_sd)","A normative fairness-anchoring model for proposal behavior, in which the percent offered to the opponent is a weighted combination of their relative token contribution and an individual tendency to systematically over- or under-offer. Proposal variability is captured by a Gaussian noise parameter. The model has three free parameters with minimal covariance, facilitating robust identifiability and interpretable fits to proposer behavior.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.27213221523682135,,,0.20148980594741503,-0.10842860556881231,,,,,,,,,,,,,,,,,,,,,
16,512.3754642394027,511.9910245535157,512.7198581246765,,"proposed_perc = fairness_weight * (token_opp / (token_self + token_opp)) * 100 + self_bias + Normal(0, noise_std)","A proportional fairness model for proposer behavior in resource allocation. The predicted offer (as percent to opponent) linearly combines the opponent’s proportional contribution with an individual fairness sensitivity and a self-bias parameter, capturing both norm-following and idiosyncratic generosity/selfishness. The model includes Gaussian noise to reflect decision variability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",-0.01693443805713056,,,,,,,,,,,,,,,,0.47940364121601775,0.11412371757321899,,,,,,,,
13,515.2269917297217,519.0125535568375,511.68831436959186,,proposed_perc_i = bias + weight_fair * (100 * token_opp / (token_opp + token_self)) + noise_i,"A linear fairness-based model of proposer choice: The proposer’s offer to the opponent (as a percentage of the total pot) is a linear function of the proportion of tokens contributed by the opponent, weighted by a fairness sensitivity parameter, plus a participant-specific bias and normally distributed decision noise. The model has three learnable parameters—bias, fairness weight, and noise standard deviation—minimizing parameter covariance and supporting parameter recovery.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.15819959746901655,,,,,,,,,,,,0.21526849466653353,0.06927473158534121,,,,,,,,,,,
5,542.8347288288918,547.5257487304856,538.542944663604,,"proposed_perc = w_merit * (100 * token_opp / (token_self + token_opp)) + (1 - w_merit) * 50 + bias + NormalNoise(0, sigma)","A weighted fairness anchor model for proposer behavior: the predicted offer (as percent) is a convex combination of a meritocratic (contribution-based) and egalitarian (equal split) anchor, plus a general bias and Gaussian noise. This approach captures how proposers trade off fairness norms and personal benefit, using only two main learnable parameters and a noise parameter for flexibility and robust parameter recovery.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.1679948623666011,,,,,-0.09768031461578029,0.15007054879839116,,,,,,,,,,,,,,,,,,
21,561.2017303532454,542.1932732510222,579.7781770667815,,"proposed_perc = intercept + fairness_weight * (100 * token_opp / (token_self + token_opp)) + noise

noise ~ Normal(0, noise_std)","A parsimonious two-parameter linear model predicting proposer behavior as a weighted combination of the opponent's proportional contribution and a baseline generosity parameter, plus Gaussian noise for parameter recoverability. The model takes into account only those features necessary and sufficient to capture contribution-contingent fairness, minimizing collinearity among learnable parameters while being readily interpretable and straightforward for fitting.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.3025034949090663,,0.15170332723808966,,,,,,,,,,,,,,,-0.036451237719541285,,,,,,,,
2,,,,,proposed_perc = intercept + fairness_weight * 100 * token_opp / (token_self + token_opp),"A linear model of proposer behavior in which the percentage offered to the opponent is a weighted function of the opponent's proportional contribution (in tokens), plus a base intercept reflecting baseline generosity or selfishness. This model has two learnable parameters: intercept (offset) and fairness_weight (sensitivity to proportional fairness), with finite, broad bounds to facilitate parameter recovery and reduce covariance.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.9999999999999204,,0.9999999999999521,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,utility = alpha * (token_opp / (token_opp + token_self)) * 100 + bias,"A proportional fairness model with a bias term. The predicted offer (proposed percentage) is a linear function of the opponent’s share of tokens found, scaled by an adjustable fairness weight and shifted by a bias parameter. The model directly captures whether participants deviate systematically from proportional fairness, and can flexibly represent fairness, selfishness, or hyper-fairness. Only two learnable parameters (alpha: fairness weight; bias: shift) are used for parsimony and parameter identifiability.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.9999999999998324,,,,0.9999999999996787,,,,,,,,,,,,,,,,,,,,
6,,,,,proposed_perc = fairness_weight * 100 * (token_opp / (token_self + token_opp)) + baseline_deviation,"A two-parameter model of proposer behavior in which the proposed percentage of the pot shared with the opponent is determined by a weighted proportional contribution rule and a constant bias. The model predicts proposed_perc as a linear function of the opponent's share of the total contributions, scaled by a fairness_weight parameter and moved by a baseline_deviation parameter. This structure efficiently captures self-interest, fairness motives, and individual generosity, and supports robust parameter recovery.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",0.9999999999998518,,,,,,,,0.9999999999999101,,,,,,,,,,,,,,,,,
10,,,,,proposed_perc_hat = weight * (100 * token_opp / (token_self + token_opp)) + (1 - weight) * 50 + bias,"A linear mixing model in which the predicted offer (as a percentage of the total pot) is a weighted average of the fairness norm (proportionate to contributions) and an equal split, plus a bias parameter capturing systematic over- or under-offering. The weight parameter adjusts the sensitivity to fairness versus default, and the bias parameter reflects a global shift toward generosity or self-interest. Only two learnable parameters maximize identifiability while capturing core psychological processes governing proposer behavior.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,0.9999999999999594,,,,,,,,,,0.9999999999964799,,,,,,,,,,,,,,
25,,,,,"\[
\text{predicted\_proposed\_perc} = 100 \times \left( w \cdot \frac{\text{token\_opp}}{\text{token\_self} + \text{token\_opp}} + (1-w) \cdot \text{bias} \right) + \text{noise}
\]","A simple, identifiable model of proposer behavior combining a weighted blend between proportional fairness (opponent's share of contribution) and individual baseline generosity, plus Gaussian decision noise. Three learnable parameters: the fairness weight (w), baseline generosity (bias), and decision noise (sigma). Directly predicts the percentage offered on proposer trials.",v0,"Be VERY considerate of high covariance between learnable parameters as the model. Have an appropriate number or learnable parameters, with a slight bias for less learnable paramters.

First, reason step by step about:
* The key psychological mechanisms involved
* How these mechanisms interact
* What mathematical form could capture these interactions
* What parameters would be needed to calibrate the model
* How the model variables map to observable behavior",,,,,,,,,,,,,,,,,,,,,,,,,,
