run_number,average_bic,model_specification,model_summary,timestamp,mu_recovery,lambda_param_recovery,gamma_recovery,μ_recovery,λ_recovery
12,79.64019223974574,"Let p = token_self / (token_self + token_opp)
Let q = split_self / combined_earning
U = mu + split_self - lambda_param * [max(p - q, 0)]^2 * combined_earning","A utility model for responders that rewards the monetary offer and penalizes deviations below a fairness benchmark. The fair share is defined as the participant’s token contribution proportion relative to total tokens, while the actual offer is considered as the proportion of the combined earnings. The penalty is applied quadratically to any shortfall (only when the actual offered proportion is below the fair share) and is scaled by the combined earning. Two learnable parameters—the baseline bias (mu) and fairness sensitivity (lambda_param)—govern the overall utility.",20250128_154445,0.794311368330593,0.32352124032773744,,,
10,82.35404708168619,"U = mu + split_self - lambda_param * (1 - exp(- max( (combined_earning * (token_self/(token_self + token_opp))) - split_self, 0 ) ))","A utility model for responders that computes the attractiveness of an offer as the sum of a baseline bias and the offered monetary share, reduced by an exponential penalty if the offer falls short of a fairness benchmark derived from the relative token contributions. The penalty saturates for larger deviations, capturing diminishing sensitivity to extreme unfairness. Two learnable parameters—mu (baseline bias) and lambda_param (fairness sensitivity)—govern the model.",20250128_154445,0.8171544742683307,-0.0162189431028463,,,
18,90.9724229436148,"Let 
  r = combined_earning × (token_self/(token_self + token_opp))
  ratio = split_self / r
Then the utility of accepting an offer is given by: 
  U = mu + r · [ (ratio)^(lambda_param) × (ratio − 1) ]","A fairness‐based responder utility model that computes the fairness benchmark from token contributions and scales the monetary offer nonlinearly based on its ratio to the benchmark. Deviations from fairness are transformed via a power function modulated by a sensitivity parameter, and added to a baseline utility.",20250128_154445,0.8160615367807376,0.13509362370444172,,,
7,,"Let r = combined_earning × (token_self / (token_self + token_opp))  
U = mu + split_self + lambda × r × ln(split_self / r)","This model computes the utility of accepting an offer based on an additive combination of the offered monetary share and a fairness adjustment. The fairness benchmark is calculated from the participant’s relative token contribution, and deviations from this benchmark are transformed via a logarithmic function scaled by a sensitivity parameter. Two learnable parameters – a baseline utility parameter (mu) and a fairness sensitivity parameter (lambda) – capture intrinsic acceptance bias and responsiveness to fairness deviations.",20250128_154445,,,,,
8,,"Let r = combined_earning × (token_self / (token_self + token_opp))
Let gap = max(r − split_self, 0)
Then, the utility is:
  U_i = (split_self)^(alpha) − lambda × (gap)^(alpha)","The model calculates the responder’s utility based on a nonlinear transformation of the offered share, while penalizing offers that fall short of a fairness reference computed from token contributions. Two learnable parameters govern the curvature of monetary rewards (alpha) and the sensitivity to fairness deviations (lambda).",20250128_154445,,,,,
14,,"Let r = combined_earning × (token_self/(token_self + token_opp))
Then, define:
  Utility U = mu + r × ((split_self/r)^(lambda_param) − 1)","This model computes the utility of a responder’s offer by first determining a fairness benchmark defined as the expected monetary share based on token contributions. The offered share is compared to this benchmark via a ratio that is exponentiated with a fairness sensitivity parameter. The resulting scaled difference is added to a baseline bias, such that offers exceeding the benchmark yield positive utility and offers falling short incur a penalty.",20250128_154445,,,,,
15,,"Let r = combined_earning × ( token_self / (token_self + token_opp) )
Then, define the normalized shortfall as: S = max((r − split_self) / r, 0)
The utility for an offer is:
 U = mu + split_self − lambda × S","The model computes responder utility as a combination of a baseline bias (mu) and the offered monetary share (split_self), diminished by a penalty that is proportional to the relative shortfall from a fairness benchmark. The fairness benchmark is defined as the proportionate share of the combined earning based on the participant’s token contribution. The penalty, scaled by the fairness sensitivity parameter (lambda), applies only when the offer falls below the fair share.",20250128_154445,,,,,
16,,"Let r = combined_earning × (token_self / (token_self + token_opp))
Let D = (split_self - r) / r
U = mu + split_self + lambda × tanh(D)","A responder utility model that adds the offered monetary split to a baseline bias and adjusts this sum by a bounded fairness factor. The fairness benchmark is computed from the participant's token share of combined tokens, and the normalized deviation (D) is transformed via a hyperbolic tangent function. The single fairness sensitivity parameter (lambda) scales this adjustment, while the baseline parameter (mu) shifts overall utility.",20250128_154445,,,,,
17,,"Let 
  r = combined_earning × (token_self / (token_self + token_opp))
  diff = r − split_self
Then the utility is given by:
  U = mu + split_self − lambda × ln(1 + exp(diff))","A smooth fairness-sensitive utility model that computes a fairness benchmark from token contributions and combined earnings. The model adds the offered monetary share and a baseline bias while subtracting a penalty determined by a softplus transformation of the difference between the fair share and the offer. This yields a utility value in which only offers below the fairness benchmark are penalized, with two learnable parameters (mu and lambda) governing baseline preference and inequity sensitivity.",20250128_154445,,,,,
19,,"Let r = combined_earning × (token_self / (token_self + token_opp))
Let S = 1 / (1 + exp(–(r – split_self)))
Then, the utility is defined as:
 U = mu + split_self – lambda × r × (S – 0.5)","A utility model for responders where the fairness benchmark (r) is computed from token contributions to combined earnings. The model adds the offered monetary share to a baseline bias (mu) and adjusts this value by a fairness penalty determined through a sigmoid transformation of the offer's deviation from the benchmark, scaled by r and a sensitivity parameter (lambda). This approach yields a smooth, nonlinear adjustment for fairness deviations.",20250128_154445,,,,,
