run_number,average_bic,model_specification,model_summary,timestamp,alpha_recovery,beta_recovery,b_recovery,lambda_fair_recovery,lambda_param_recovery,mu_param_recovery,beta_0_recovery,beta_1_recovery,kappa_param_recovery,beta_param_recovery,bias_recovery,fairness_weight_recovery,delta_recovery,theta_recovery,xi_param_recovery,fairness_sensitivity_recovery
4,34.95611342857145,"U_responder = split_self - lambda_param * max( (token_self / (token_self + token_opp)) * combined_earning - split_self, 0 ) - mu_param * max( split_self - (token_self / (token_self + token_opp)) * combined_earning, 0 )","A fairness-based utility model for responders that computes an expected fair share from token contributions and combined earnings, then penalizes deviations from this fair share using distinct sensitivity parameters for disadvantageous and advantageous deviations. The model uses two learnable parameters to calibrate the inequity cost.",20250128_153032,,,,,0.8258667491708062,0.6172266840788766,,,,,,,,,,
7,35.00456495905321,"Let F = (token_self / (token_self + token_opp)) × combined_earning.
Then,
 U_accept = split_self − lambda_param × max(F − split_self, 0) − beta_param × max(split_self − F, 0)",A utility model for responder behavior where the utility of acceptance is computed as the monetary offer (split_self) minus an inequity penalty that depends on the deviation from a fair share. The fair share is defined proportionally from the participant’s tokens relative to the total tokens and scaled by the combined earning. Two learnable parameters (lambda_param and beta_param) modulate the sensitivity to disadvantageous and advantageous deviations from fairness.,20250128_153032,,,,,0.913333506054787,,,,,0.6404516472015978,,,,,,
15,35.0045649604591,"U_accept = split_self - [ alpha · I(d < 0) · (fS - split_self) + delta · I(d > 0) · (split_self - fS) ]
where
 fS = (token_self / (token_self + token_opp)) · combined_earning,
 d = split_self - fS,
 I(condition) = 1 if condition holds, 0 otherwise.","A fairness-based utility model for responder decisions that computes a fairness reference from the participant’s token contribution relative to the total tokens. The offered share (split_self) is compared to this fair share, and the utility is reduced proportionally by one of two learnable parameters: alpha for disadvantageous deviation (when the offer is lower than fair) and delta for advantageous deviation (when the offer is higher than fair). This model uses only two learnable parameters and maps directly to the observed trial variables.",20250128_153032,0.9069778816583428,,,,,,,,,,,,0.6709110426486017,,,
18,42.535235771910116,U_accept = beta_0 + split_self + lambda_param * (split_self - (combined_earning * token_self / (token_self + token_opp))),"A linear utility model for responder behavior wherein the utility of acceptance is computed as the sum of the offer’s monetary value and a fairness adjustment term. The fairness term is the difference between the offered share and a fair share computed from the participant’s token contribution relative to the total tokens, weighted by a fairness sensitivity parameter. An additive baseline bias parameter allows for systematic shifts in the utility.",20250128_153032,,,,,0.34107039082515583,,0.8612442606660978,,,,,,,,,
2,,U = phi * split_self - lambda * (split_self - (token_self / (token_self + token_opp)) * combined_earning)^2,The model computes the utility for a responder’s acceptance decision as a weighted sum of the monetary value offered (split_self) and a quadratic penalty for deviation from a normative fair share. The normative fair share is derived from the ratio of the participant’s tokens to the total tokens times the combined earning. Two learnable parameters – phi (monetary sensitivity) and lambda (fairness sensitivity) – allow the model to adaptively weigh these influences.,20250128_153032,,,,,,,,,,,,,,,,
8,,"U_accept = delta * split_self - lambda * max((token_self / (token_self + token_opp)) * combined_earning - split_self, 0)","This model computes the utility for a responder accepting an offer by combining a positive valuation on the money received with a penalty for receiving less than what is deemed fair based on token contributions. The fairness benchmark is derived from the ratio of participant tokens to the total tokens available. Two learnable parameters (delta and lambda) scale the monetary benefit and the penalty from disadvantageous inequity, respectively.",20250128_153032,,,,,,,,,,,,,,,,
10,,"U_accept = delta * split_self - lambda * max((token_self / (token_self + token_opp)) * combined_earning - split_self, 0)","A utility model for responder behavior that computes the utility of accepting an offer. The model values the monetary reward (split_self) scaled by a gain sensitivity parameter (delta), and subtracts a penalty (scaled by lambda) if the monetary split falls below the fair share, computed from the participant’s token contribution relative to the total and the combined earning.",20250128_153032,,,,,,,,,,,,,,,,
14,,"F = combined_earning * (token_self / (token_self + token_opp))
U = beta * split_self - gamma * F","A linear utility model for responders that calculates utility by weighting the proposed monetary share (split_self) and subtracting a penalty proportional to a fairness benchmark (F), where F is computed from the participant’s contribution relative to the opponent’s in generating the combined earnings. The two learnable parameters, beta and gamma, capture sensitivity to monetary reward and fairness, respectively.",20250128_153032,,,,,,,,,,,,,,,,
16,,"U_accept = beta + split_self - lambda_param * max((token_self / (token_self + token_opp)) * combined_earning - split_self, 0)","The model calculates the utility of accepting an offer as the sum of a baseline bias and the monetary offer, minus a fairness penalty applied when the offer is below the fair share (computed based on the participant’s tokens and the combined earning). Two learnable parameters control the bias (beta) and sensitivity to unfairness (lambda_param), ensuring the model can capture responder behavior under inequity aversion.",20250128_153032,,,,,,,,,,,,,,,,
20,,"U = beta + split_self - theta * max((token_self / (token_self + token_opp)) * combined_earning - split_self, 0)","A utility model for responders that computes the value of accepting an offer as the sum of the offered share and a baseline bias, minus a fairness penalty when the offer falls short of the equitable share based on token contributions. The model incorporates two learnable parameters: a baseline parameter (beta) and a fairness sensitivity parameter (theta).",20250128_153032,,,,,,,,,,,,,,,,
